## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[SRR8617597.sorted.bam] OUTPUT=SRR8617597.dedup.bam METRICS_FILE=SRR8617597.metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri May 10 17:37:18 EET 2019

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	28736	530160	61442	910944	1490	885	0	0.002993	158619629

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	non_optical_sets
1.0	1	528437	528437
2.0	1.996663	794	794
3.0	2.990001	41	41
4.0	3.980024	3	3
5.0	4.966744	0	0
6.0	5.950171	0	0
7.0	6.930317	0	0
8.0	7.907192	0	0
9.0	8.880807	0	0
10.0	9.851174	0	0
11.0	10.818303	0	0
12.0	11.782205	0	0
13.0	12.742891	0	0
14.0	13.700371	0	0
15.0	14.654656	0	0
16.0	15.605757	0	0
17.0	16.553685	0	0
18.0	17.498449	0	0
19.0	18.440061	0	0
20.0	19.378531	0	0
21.0	20.31387	0	0
22.0	21.246087	0	0
23.0	22.175194	0	0
24.0	23.101201	0	0
25.0	24.024118	0	0
26.0	24.943955	0	0
27.0	25.860723	0	0
28.0	26.774432	0	0
29.0	27.685093	0	0
30.0	28.592714	0	0
31.0	29.497307	0	0
32.0	30.398882	0	0
33.0	31.297448	0	0
34.0	32.193016	0	0
35.0	33.085596	0	0
36.0	33.975198	0	0
37.0	34.861831	0	0
38.0	35.745505	0	0
39.0	36.626231	0	0
40.0	37.504018	0	0
41.0	38.378877	0	0
42.0	39.250816	0	0
43.0	40.119845	0	0
44.0	40.985975	0	0
45.0	41.849215	0	0
46.0	42.709574	0	0
47.0	43.567063	0	0
48.0	44.42169	0	0
49.0	45.273466	0	0
50.0	46.122399	0	0
51.0	46.9685	0	0
52.0	47.811778	0	0
53.0	48.652242	0	0
54.0	49.489901	0	0
55.0	50.324765	0	0
56.0	51.156844	0	0
57.0	51.986146	0	0
58.0	52.812681	0	0
59.0	53.636458	0	0
60.0	54.457486	0	0
61.0	55.275775	0	0
62.0	56.091333	0	0
63.0	56.90417	0	0
64.0	57.714294	0	0
65.0	58.521716	0	0
66.0	59.326443	0	0
67.0	60.128485	0	0
68.0	60.927851	0	0
69.0	61.72455	0	0
70.0	62.51859	0	0
71.0	63.309981	0	0
72.0	64.098731	0	0
73.0	64.884849	0	0
74.0	65.668344	0	0
75.0	66.449225	0	0
76.0	67.2275	0	0
77.0	68.003178	0	0
78.0	68.776268	0	0
79.0	69.546779	0	0
80.0	70.314718	0	0
81.0	71.080095	0	0
82.0	71.842918	0	0
83.0	72.603196	0	0
84.0	73.360937	0	0
85.0	74.116149	0	0
86.0	74.868842	0	0
87.0	75.619022	0	0
88.0	76.3667	0	0
89.0	77.111883	0	0
90.0	77.85458	0	0
91.0	78.594798	0	0
92.0	79.332546	0	0
93.0	80.067833	0	0
94.0	80.800666	0	0
95.0	81.531054	0	0
96.0	82.259005	0	0
97.0	82.984526	0	0
98.0	83.707627	0	0
99.0	84.428315	0	0
100.0	85.146599	0	0

